Model;Price
 Huawei P40 Lite E Midnight Black ;89 890
 Huawei P Smart 2019 Midnight Black ;79890
 Huawei P Smart Z 64GB Midnight Black ;99890
 Huawei P30 Pro Breathing Crystal ;349890
 Huawei P30 Aurora ;249890
 Huawei P30 Lite 128GB Midnight Black ;109890
 Huawei P40 Lite E Aurora Blue ;89890
 Huawei P40 Lite Sakura Pink ;129890
 Huawei P30 Lite 128GB Peacock Blue ;109890
 Huawei Y5 Lite 16GB Modern Black ;39890
 Huawei Y7 2019 32GB Aurora Blue ;69890
 Huawei P Smart 2019 Aurora Blue ;79890
 Huawei P40 Pro Silver ;499890
 Huawei P40 Lite Midnight Crush Green ;129890
 Huawei P30 Lite 256GB Midnight Black ;149890
 Huawei Y5 Lite 16GB Amber Brown ;39890
 Huawei Y5 2019 32GB Saphire Blue ;54890
 Huawei Y6 2019 32GB Sapphire Blue ;59890
 Huawei Y9S Breathing Crystal ;129890
 Huawei P30 Pro Aurora ;349890
 Huawei P Smart Z 64GB Saphire Blue ;99890
 Huawei Y6P Emerald Green ;69890
 Huawei Y5 2019 32GB Amber Brown ;54890
 Huawei P Smart Z 64GB Emerald Green ;99890
 Huawei P30 Lite 256GB Peacock Blue ;149890
 Huawei P40 Pro Black ;499890
 Huawei Y6S 64GB Starry Black ;69890
 Huawei Y6 2019 32GB Amber Brown ;59890
 Huawei P30 Breathing Crystal ;249890
 Huawei Y5P Mint Green ;44890
 Huawei Nova 5T Crush blue ;179890
 Huawei P40 Black ;349890
 Huawei Y6P Midnight Black ;69890
 Huawei Y6S 64GB Orchid Blue ;69890
 Huawei Y9 Prime 2019 Midnight Black ;119890
 Huawei Y8P Breathing Crystal ;109890
 Huawei Y9S Midnight Black ;129890
 Huawei Y9 Prime 2019 Emerald Green ;119890
 Huawei Y8P Midnight Black ;109890
 Huawei P smart 2021 Crush Green ;119890
 Huawei P smart 2021 Midnight Black ;119890
 ÎÐÐÎ A5 2020 Dazzling White ;79990
 OPPO A1k 32GB Black ;59790
 OPPO A1k 32GB Red ;59790
 ÎPPO A5s Black ;59990
 ÎÐÐÎ A5 2020 Mirror Black ;79990
 ÎPPO A91 8/128GB Lightening Black ;139990
 ÎÐÐÎ A72 Aurora Purple ;119990
 ÎÐÐÎ A12 3/32GB Black ;59990
 ÎÐÐÎ A9 2020 Vanilla Mint ;109990
 ÎÐÐÎ A52 Stream White ;99990
 OPPO Find X2 256GB Black ;499990
 ÎÐÐÎ A91 8/128GB Blazing Blue ;139990
